Input,Predicted,Actual
But2 they2 won2 . Nixon2 god2 mad1 and2 barred2 The2 post2 from2 the2 White2 house2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Lekin1 they2 won2 . Nixon2 paagal1 ho1 gaya1 aur1 The1 post1 ko1 White1 house2 se1 bar1 kar1 diya1 .
Who2 is2 Helen2 ?,"<unk> , hai1 hai1",Helen2 kon1 hai1 ?
the2 critics2 say2 it2 a2 colorful2 movie2,"mujhe1 , hai1 <unk> hai1 hai1",critics2 ne1 kaha1 ki1 yeh1 ek1 colorful2 movie2 hai1
I2 also2 like2 that2 it2 was2 inspired2 by2 an2 existing2 fairy2 tale1 .,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",mujhe1 ye1 bhi1 bahut1 accha1 laga1 ki1 ye1 ek2 existing2 fairy2 tale1 se2 inspired2 he2 .
Yeah1 I've2 probably2 seen2 it2 a2 dozen2 times2 .,"muje1 , <unk> <unk> <unk> <unk> hai1 .","haan1 , mainne1 shaayad1 ise1 ek1 dozen2 times2 dekha1 hai1 ."
so1 what's1 up2 with2 the2 movie2 ?,"muje1 , hai1 <unk> hai1 hai1",To1 movie1 ke1 sath1 kya1 hua1 ?
Not2 the2 whole2 thing2 just2 bits2 and2 pieces2 .,"muje1 , <unk> <unk> <unk> <unk> hai1",saara1 kuch1 nahin1 sirf1 bits2 and2 pieces2 .
i2 watched2 some2 scenes2,"mujhe1 , hai1 hai1",mene1 kuch1 scene2 watch1 kiye1 .
I2 kind2 of2 enjoyed2 the2 scary2 moments2 in2 it2,"muje1 , <unk> <unk> <unk> hai1 hai1",mainne1 isamen1 daraavane1 palon1 ka1 aanand1 liya1
Me1 neither2 but2 this2 one2 was2 pretty2 good2 .,"muje1 , <unk> <unk> <unk> <unk> hai1","Me1 neither2 , lekin1 ye1 kaafi1 achi1 thi1"
Do1 you2 think2 you2 will2 like2 the2 movie2,"muje1 , hai1 <unk> hai1 hai1 hai1",kya1 aapako1 lagata1 hai1 ki1 aapako1 film2 pasand1 aaegee1
"Does2 it2 say2 whether2 the2 main2 characters2 survive2 to2 the2 end2 , or2 are2 they2 wounded2 , etcetera2 ?","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","kya1 yah1 kahata1 hai1 ki1 kya1 mukhy1 paatr1 ant1 tak1 jeevit1 rahate1 hain1 , ya1 ve1 ghaayal1 hote1 hain1 , vagairah1 ?"
Cinema2 Score2 gave2 it2 an1 A1 -,haan1,Cinema2 Score2 ne1 ise1 A1 - diya1
I2 also2 like2 Gru1 . He's2 the2 funniest2 of2 the2 characters2 by2 far2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mujhe1 Gru1 bhi1 pasand1 hai1 . Weh1 ab1 tak1 ke1 characters2 mein1 sabase1 majedaar1 hai1 .
I'd2 watch2 it2 just2 for2 that2 scene2,"muje1 , <unk> <unk> <unk> hai1 hai1",Main1 sirf1 us1 scene1 ke1 liye1 usko1 dekhunga1
I1 know2 that2 it2 has2 been2 regarded2 as2 one2 of2 the2 most2 important2 stories2 of2 the2 last2 century2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mai1 janta1 hu1 ki1 ise1 one2 of2 the2 most2 important2 stories2 of2 the2 last2 century2 se2 nawaja1 gya1 hai1
I2 like2 that2 she2 transitioned2 from2 being2 home2 schooled2 to2 public2 school2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mujhe1 yah1 pasand1 hai1 her2 transitioned2 se2 home2 school2 to2 public2 school2
I2 didn't2 realize2 it2 was2 directed2 by2 Steven2 Spielberg2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",MUJE1 REALIZE1 HI1 NAHI1 HOTA1 KI1 STEVEN1 SPIELBERG1 NE1 DIRECT1 KIYA1 HAIN1
"There2 were2 other2 social2 networks2 before2 The2 Facebook2 , too2 , which2 is2 what2 Zuckerberg2 called2 it2 while2 expanding2 the2 site2 to2 Yale2 , Columbia2 , and2 Stanford2 . I2 liked2 Napster2 , too2 , and2 had2 a2 MySpace2 account2 . But2 that2 all2 changed2 after2 Parker2 suggested2 they2 drop2 ' The2 ' and2 move2 Facebook2 to1 Palo2 Alto2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Facebook1 ke1 pehle1 bhi1 other2 social2 networks2 the2 , jo1 ki2 zuckerberg2 ne1 kaha1 tha1 jab1 wo1 site1 ko1 yale2 , columbia2 aur2 stanford2 me2 expand2 kar1 rahe1 the1 . Mujhe1 Nepster1 bhi1 pasand1 hai1 , aur1 mera1 Myspace2 ka1 account1 bhi1 hai1 . But1 ye1 sab1 badal1 gaya1 jab1 parker1 ne2 suggest1 kiya1 facebook1 to1 palo2 alto2 ."
though2 they2 took2 forever2 to2 make2 those2 ones2 ... or2 at2 least2 waited2 forever2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",mujhe1 laga1 use1 banane1 mein1 they2 took2 forever2 .. ya1 fir1 waited2 forever2
I2 think2 they2 made2 a2 billion2 dollars2 with2 those2 movies2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mujhe1 lagta1 hai1 unhone1 un2 movies2 se1 bees2 billion2 dollars2 bana1 liye1
Oh1 ! So1 Batman2 is2 supposed2 to2 bring2 Superman2 to2 Lex2 Luthor2 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Oh1 ! batman2 superman1 ko1 lex1 luthor2 ke1 paas1 lekar1 jata1 hai1
the2 scene2 with2 the2 trolls2 too2 .,"mujhe1 , hai1 <unk> hai1",trols2 ke1 saath1 drushy1 bhee1 .
"Yes2 , that2 was2 a2 good2 one2 . I2 love1 Tarantino2 movies2","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Haan1 , badhiya1 thi1 , Mujhe1 Tarantino1 ki1 movies2 bahut1 pasand1 hai1"
It2 was2 filmed2 in2 Australia2,"haan1 , hai1 hai1",YEH1 AUSTRALIA1 MEIN1 FILMED1 KIYA1 HEIN1
I2 did2 . I2 really2 liked2 seeing2 the2 scenes2 where2 batman2 manages2 to2 subdue2 the2 superman2 .,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",haan1 yar1 .. muje1 vakahi1 mein1 is2 scene2 pasand1 hein1 .. batman1 tho1 superman1 ko1 kisi1 tarah1 manage1 kar1 raha1 tha1
Hello1 !,<unk>,Hello1 ! namaskaar1 !
yeah1 but2 it2 was2 not2 a2 logical2 story2,"muje1 , <unk> <unk> <unk> <unk> hai1 <unk>",Han2 but2 ye1 ek1 logical2 story2 nhi1 thi1
I2 think2 he2 is2 a2 little2 on2 the2 odler2 side2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",I2 think2 wo1 thoda1 odd1 side2 me1 hai1
It2 does2 great2 cast2 behind2 it2 too1,"mujhe1 , hai1 <unk> hai1 hai1",uske1 peeche1 bhi1 great2 cast2 hai1
Toothless2 the2 dragon2 comes2 to2 protect2 Hiccup2 but2 ends2 up2 getting2 captured2 by2 the2 Vikings2 ...,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Tootless2 the2 dragon2 Hiccup2 ko2 protect2 karne1 aata1 hai1 lekin1 akhir1 mein1 Vikings2 se2 capture2 ho1 jaata1 hai1
It's1 really2 interesting2 that2 ellen2 page2 is2 recruited2 to2 construct2 dreamscapes2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",ye1 really1 bahut1 interesting2 hai1 ki1 ellen2 page2 ko2 dreamscapes2 construct2 karne1 ke1 liye1 recruit2 kiya1 hai1
yep2 appreciated2 critically2 and2 commercially2,"mujhe1 , hai1 <unk> hai1",Haan1 critically2 aur2 commercially2 appreciate2 hui2 hai1
Don't1 give2 too2 much2 away2 though2 ! I2 don't2 want2 to2 know2 the2 ending2 !,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",jyada1 mat1 batao1 ! mujhe1 ending1 nahi1 janna1 hai1
It2 only2 only2 got1 6.9/10 hmmm1,"haan1 , hai1 hai1",usne1 shirf1 shirf1 6.9 mile1 hai1 10 mese1 .
"I2 agree2 ! It2 was2 very2 sad2 but2 also2 , as2 one2 reviewer2 puts2 it2 quite2 "" bittersweet2 ."" I2 wasn't2 sure2 how2 to2 feel2 at2 the2 end2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",I2 agree1 ! Yah1 bahut1 sad1 tha1 but2 also2 ek2 reviewer2 ne2 jaise1 bataya1 ki1 yah1 quite2 bittersweet2 ha2 . Mai1 sure1 hi1 nahi1 tha1 ki1 ant1 me1 mai1 kya1 feel1 karu1 .
"There2 are2 some2 changes2 but2 pretty2 much2 . I2 only2 care2 about2 the2 ending2 anyway2 . Ryan2 Gosling2 play2 as2 Noah2 in2 the2 movie2 , he2 is2 poor2 while2 Allie2 is2 from2 a2 rich2 family2 and2 she2 is2 engage2 with2 someone2 else2 but2 fell2 in2 love2 with2 Noah2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","isme1 tho1 kaafi1 changes2 hein1 jo1 muje1 pasand1 hein1 . mein1 end1 ka1 hi1 care1 kar1 raha1 tha1 , ryan2 gosling2 neh1 tho1 noah1 ka1 play1 ache1 kiya1 , voh1 poor1 hein1 lekin1 allie2 rich2 family2 ki1 thi1 uska1 engage2 dusra1 ke1 saath1 huva1 lekin1 voh1 noah1 ko1 pyar1 kar1 rahi1 thi1"
Wow1 that2 is2 a2 good2 score2 . Who2 plays2 the2 main2 character2 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",vaah1 yah1 ek1 achchha1 skor1 hai1 . mukhy1 kiradaar1 kaun1 nibhaata1 hai1 ?
hey1,hi1,hey1
No1 I2 haven't2 have2 you2 ?,"<unk> , hai1 hai1 hai1","Nahin1 mene1 nahin1 , kya1 tumne1 ?"
would2 you2 see2 this2 movie2 ?,"<unk> , hai1 hai1",Kya1 tum1 se1 movie1 dekhoge1 ?
TONY2 STARK1 ACTING1 IS1 VERY1 AMAZING1,"muje1 , <unk> <unk> <unk> hai1",Tony2 Stark2 acting2 bahut2 amazing2 tha2 .
Eisenberg2 is2 the2 lead2 actor2 ?,"<unk> , hai1 hai1",kya2 Eisenberg2 pramukh2 actor1 hai1 ?
Good2 question2 . A2 lot2,"mujhe1 , hai1 hai1",ACHHI1 SAWAL1 . BAHUT1 SARE1
mine2 too2,<unk> <unk>,MAIN1 BHI1
me2 either2,"<unk> , hai1",MUJE1 BHI1
"The2 main2 character2 is2 Gal1 Gadot2 , but2 also2 stars2 Chris2 Pine2 , Robin2 Wright2 and2 Danny2 Huston2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Main1 character2 Gal2 gadot2 hai1 , lekin1 Chris2 pine2 , Robin2 wright2 aur2 Danny2 huston2 bhi1 hain1"
ME1 ALSO1,<unk> <unk>,Mujhe1 bhi1
he's2 an2 amazing2 director2,"mujhe1 , hai1 hai1",wah1 ek1 gajab1 ka1 director1 hain1
hahahah1 oh1 when2 did2 it2 come2 out2 ?,"mujhe1 , hai1 hai1 hai1",hahahah1 oh1 vah1 kab1 bahar1 aaya1
I'm2 having2 a2 hard2 time2 recalling2 some2 of2 the2 specifics2 . It's2 hard2 to2 believe2 this2 film2 is2 almost2 10 years2 old2 already2 ! I2 do2 recall2 them2 growing2 increasingly2 more2 complex2 and2 dream2 like2 the2 deeper2 they2 went2 though2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mujhe1 kuch1 specific2 yaad2 nai1 aa1 rahi1 h1 . yaha1 believe1 karna1 mushkil1 h1 ki1 yaha1 movie1 10 saal1 purani1 h1 ! Mujhe1 yaad1 aa1 raha1 h1 ki1 yaha1 din1 b1 din1 complex2 and2 dream2 like1 ho1 rhi1 h1 .
Comedy2 movies2 are2 always2 a2 must2 see2 in2 my2 book2 .,"muje1 , hai1 <unk> <unk> <unk> hai1 <unk> hai1",comedy2 movies2 tho1 hum1 book1 mein1 hi1 dekhte1
"Oh1 , I2 forgot2 . Steven2 Spielberg2 is2 the2 director2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Oh1 , Main1 bhool1 gaya1 . steven2 Spielberg2 director2 hain1"
That's2 pretty2 low2 ... but2 I2 don't2 always2 agree2 with2 critics2 ...,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Vah1 achcha1 hai1 ... Par1 mei1 hamesha1 aalochak1 se1 sahamat1 nahi1 hui1 ...
So1 what2 does2 he2 do2 with2 him2 ?,"muje1 , hai1 <unk> hai1 hai1",so1 usne1 uske1 saath1 kya1 kiya1 ?
But2 the2 audiences2 liked2 it2 . It2 has2 a1 B2 cinema2 score2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","but2 audience2 ne2 like1 kiya1 , iska1 cinema2 score2 B1 hai1"
Real2 Steel2,<unk> <unk>,Real2 steel2
"I2 find2 this2 movie2 confuses2 me2 lol1 . You're2 happy2 she2 gets2 her2 wings2 back2 , but2 mad2 Aurora's2 dad2 died2 ... or2 is2 that2 good2 too2 ? He2 wasn't2 bad2 in2 the2 animated2 version2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mujhe1 ye1 movie2 confuse2 krti1 hai1 . tum1 khush1 ki1 usko1 wings1 milte1 hai1 , but1 paga1 aurora1 ke1 dad1 marte1 hai1 .. ya1 ye1 bhi1 acha1 hai1 ? wo1 bura1 nahi1 hai1 animated2 movie2 me2"
this2 soulds2 like2 a2 great2 movie2,"mujhe1 , hai1 <unk> hai1",ye1 great2 movie2 lag1 rahi1 hai1
He2 then2 thought2 Gru2 should2 try2 to2 help2 Vector2 off2 the2 moon2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",fir1 usne1 socha1 ki1 gru1 ko2 vector2 par2 try1 karna1 chahiye1 us1 moon1 ko1 off1 karne1 pe1
Tuberculosis2 .,<unk>,Tuberculosis2 .
There2 were2 certainly2 some2 high2 stakes2 with2 that2 nuclear2 missile2 heading2 for2 New2 York2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Yaha1 vaha1 bahut1 jayada1 stakes2 hai1 or2 nuclear2 missile2 hai1 new1 york1 mei1 .
Never2 heard2 of2 them2 . What2 other2 movies2 have2 they2 been2 the2 director2 ?,"muje1 , hai1 <unk> ki1 <unk> hai1 <unk> <unk> hai1 .",unake1 baare1 mein1 kabhee1 nahin1 suna1 . nirdeshak1 ke1 roop1 mein1 unakee1 kaun1 see1 any2 philmen1 hain1 ?
me1 too1 . I2 like2 that2 it2 was2 about2 family2 and2 sisters2 too2 .,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","muje1 bhi1 . muje1 bhi1 pasand1 hein1 , kyon1 ki1 voh1 toh1 family1 aur1 sisters2 ke1 baare1 mein1 hein1 ."
Have2 you2 seen2 this2 movie2 ?,"muje1 , hai1 hai1 hai1",Kya1 tumne1 yeh1 movie1 dekhi1 hai1 ?
I1 LIKE1 ALL1 THE1 CHARACTER1 IN1 THIS1 FILM1,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk>",IS1 FILM1 MEMUJHE1 SAB1 BHUMIKA1 ACHHI1 LAGI1
I've2 done2 this2 before2 and2 usually2 they2 provide2 3 rating2 systems2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Maine1 ye1 Pehla1 bhi1 kia1 hai1 aur1 har1 baar1 je1 3 rating2 system2 dete1 hain1
Must2 see2,<unk> <unk>,jaroor1 dekhna1
I1 love2 Frozen2 !,"<unk> , hai1 hai1",mujhe1 frozen2 accha1 lagta1 hai1 ?
Ah1 I1 see2 ! Thor's2 brother2 . Have2 you2 seen2 the2 first2 two2 films2 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",oh1 maine1 thor1 ka1 bhai1 dekha1 kya1 tumne1 pehli1 do1 film2 delhi1 hai1 ?
Anna2 is2 a2 princess2,"<unk> , hai1 hai1",Anna1 Ek1 Rajkumar1 Hai1
Have2 a2 great2 day2 !!,"<unk> , hai1 hai1",Aapka1 din1 great2 ho1
no2 it2 is2 not2,"<unk> , hai1 hai1",nahi1 isme1 nahi1 hein1
i1 dont1 see1,"<unk> , hai1",me1 easa2 understand1 nahi1 karta1
Giant2 man2 eating2 shark2 attacking2 people2 makes2 for2 an2 entertaining2 watch2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",shaark1 par1 hamala1 karane1 vaala1 vishaalakaay1 aadamee1 ek1 manoranjak1 ghadee1 ke1 lie1 banaata1 hai1
This2 is2 more2 of2 an2 action2 film2 with2 robots2,"muje1 , hai1 <unk> <unk> <unk> hai1",YEH1 ROBOTS1 KA1 JYADA1 ACTION1 FILM1 MEIN1 SE1 YEK1 HEIN1
its2 been2 years2 but2 i2 still2 can't2 get2 over2 heath2 ledgers2 acting2 as2 the2 joker2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",itne1 saal1 ho1 gaye1 par1 main1 abhi1 bhi1 heath2 ledgers2 ki2 joker1 ki1 acting1 ko1 bhula1 nahi1 sakta1 .
The2 league2 of2 shadows2 is2 in2 the2 film2 !? Wait2 so2 that2 means2 Neeson2 is1 Ras1 Algul1 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",league2 of2 shadows2 film2 mein1 hai1 ? Wait2 to1 kya1 matlab1 Neeson1 Ras1 Algul1 hai1 ?
what2 ? they2 don't2 know1 how2 to2 scare2 ?,"muje1 , hai1 <unk> hai1 hai1 hai1 hai1",kya1 ? unhe1 pata1 nahi1 tha1 scare1 kaise1 karein1 ?
are1 you2 familiar2 with2 the2 premise2 of2 Dunkirk2 ?,"muje1 , hai1 <unk> hai1 hai1 hai1",kya1 thumhaym1 dunkrik1 ke1 bare1 maym2 patha1 hai1 ?
i1 love1 the2 advangers2 movies2,"haan1 , hai1 <unk> hai1",Mujhe1 avengers2 movies2 achi1 lagti1 hain1
"Lol1 , I1 think2 we2 could2 be2 best2 friends2 just2 you2 saying2 that2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Lol1 , mujhe1 lagta1 hai1 tumhare1 bas1 is2 statement2 bolne1 se1 hum1 best1 friend1 ban1 sakte1 hai1"
"I2 felt2 that2 scene2 shows2 the2 story2 of2 this2 film2 well2 , and2 is2 thought2 out2 .","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Main1 sochta1 hun1 ki1 ye1 scene2 shows2 the2 story2 of2 this2 film2 well1 , kaafi1 socha1 samjha1 hai1 ."
"not2 yet2 , am2 intrested2 to2 watch2 ..","muje1 , <unk> <unk> <unk> <unk> hai1","abhi1 nahi1 , par1 mei1 dekhane1 mei2 intrerated2 hui2 ."
Yeah2 .. when2 you2 watch2 this2 movie2 ??,"muje1 , hai1 <unk> hai1 hai1 hai1",Yeah1 ... tumne1 kab1 dekhi1 ye1 movie2 ??
"Luthor2 gets2 arrested2 and2 then2 Batman2 goes2 to2 visit2 him2 in2 prison2 . I2 don't2 want2 to2 tell1 you1 the2 outcome2 of2 the2 fight2 because2 I2 don't2 want2 to2 ruin2 the2 ending2 . No1 , Wonder2 Woman2 doesn't2 have2 a2 very2 big2 part2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Luthor2 arrest2 hojata1 hai1 phir1 Batman1 usse2 visit2 karne1 jail1 me1 jata1 hai1 . Main1 tumhe1 fight1 ka2 outcome2 nahi1 batana1 chahta1 kyuki1 main1 ending2 ruin2 nahi1 karna1 chahta1 . No1 , Wonder2 Woman2 ka1 bahut1 bada1 part1 nahi1 hai1"
Probably2 not2 because2 she2 was2 a2 drug2 addict2 . I2 think2 he2 was2 referring2 to2 his2 adopted2 family2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Nahin1 ho1 sakta1 kyonki1 woh1 ek1 drug2 addict2 thi2 . Mujhe1 lagta1 hai1 woh1 apni1 adopted2 family2 ke1 baare1 mein1 bata1 raha1 tha1 .
Have2 you2 seen1 Catch1 Me2 If2 You1 Can1 ?,"muje1 , hai1 <unk> hai1 hai1 hai1",kya1 aapane1 Catch1 Me2 If2 You1 Can1 dekha1 hai1 ?
That's2 true2,<unk> <unk>,ye1 to2 sure2 he2
because2 her2 daughter2 was2 the2 only2 one2 who2 wouldnt2 get2 scared2 and2 run2 away2 lol2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",kyunki1 uski1 daughter1 akeli1 thi1 jo1 scare1 hokar1 bhaagti1 nahi1
Its2 a2 children's2 movie2 .,"mujhe1 , hai1 hai1",Wo2 children's2 movie2 hai1 .
I'm2 not2 sure2 .,"<unk> , hai1",main1 sure1 nahi1 hun1 .
Hello1 ! How1 are2 you1 ?,"haan1 , hai1 hai1 hai1",Hello1 ! Kaise1 ho1 tum1 !
final2 scene2 to2 discuss2 : the2 mother2 admits2 what2 she's2 done2 and2 gives2 her2 daughter2 the2 letters2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",final2 scene2 discuss2 karne1 ke1 liye1 : mother2 admit2 karti1 hau1 ki1 usne1 kya1 kiya1 aur1 daughter2 ko2 letter2 deti1 hai1
"Well2 , Darwin2 had2 a2 rough2 time2 on2 the2 beagle2 . He2 was2 the2 captain's2 special2 steward2 , which2 was2 a2 demanding2 job2 , if2 you1 know1 what2 I2 mean2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","badiya1 , darwin2 ka1 bura1 time1 tha2 beagle2 par1 . Wo2 captain2 ka1 special2 steward2 tha1 , jo1 ki1 ek1 demanding2 job2 thi1 , agar1 tum1 jante1 ho1 ki1 mera1 kya1 matlab1 he1"
"If2 the2 dreamer2 died2 and2 you2 end2 up2 in2 ' limbo2 ', where2 do2 you2 think2 that2 is2 ? All2 of2 the2 extractors2 are2 living2 within2 that2 consciousness2 , what2 would2 become2 of2 them2 ? ( since2 if2 he2 dies2 , that2 consciousness2 will2 cease2 to2 exist2 .)","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",agar2 dreamer2 mar1 gaya1 toh1 limbo1 mein1 end1 hotha1 . kaise1 aise1 kar1 sakthe1 ? sabhi1 extractors2 issi2 consciousness2 mein2 hi1 jee1 rahe1 hein1 . kya1 yeb1 sab1 ban1 baayenge1 ?
"Yeah1 , it2 was2 pretty2 surprising2 when2 Hawkey2 got2 enslaved2 so2 early2 in2 the2 movie2 though2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",haan1 wo1 kaafi1 surprising2 tha2 jab1 Hawkey2 movie2 me1 itni1 jaldi1 enslave2 kar1 liye1 the1
"10K2 or2 not2 , I2 would2 not2 get2 in2 that2 water2 or2 that2 boat2 if2 a2 great2 white2 were2 out2 there2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","10k2 ya1 nahin1 , main1 us1 paanee1 ya1 us1 naav1 mein1 nahin1 jaata1 agar1 ek1 mahaan1 saphed1 vahaan1 se1 baahar1 hota1"
