Input,Predicted,Actual
tumhe1 film2 pasand2 hai1,the2 is2,Did1 you2 like2 the2 movie2
Sabhi1 critics2 lagta1 hai1 agree1 karte1 hai1 .,"i2 , . it2 . .",The2 critics2 seem2 to2 agree2 .
Main1 bhi1 .,i2 .,Ya1 same1 .
"voh1 drama1 toh1 bore1 lagne1 laga1 usme1 jyada1 note2 worthy2 exceptions2 tha1 . muje1 comedies2 aur2 fantasy2 pasand1 aaya1 especially2 sci-fi2 . mein2 check1 kar1 lunga1 , overall2 muje1 movies2 pasand1 hein1","i2 , , it2 the2 , . . . . . . .","Dramas2 tend2 to2 kind2 of2 bore2 me2 usually2 , with2 many2 note-worthy2 exceptions2 . I2 like2 Comedies2 mostly2 or2 fantasy2 , Sci-fi2 . I2 will2 check2 it2 out2 though2 , all2 in2 all2 i1 just1 love1 movies1 !"
haan1 . thoda1 frustrations2 hoon1 lekin1 is1 life1 mein1 kuch1 aspects2 relate2 bhi1 kar1 saktha1,"i2 , it2 the2 the2 , , , , the2 the2 . . . . .",Yes1 I1 think2 his2 frustrations2 are2 very2 relatable2 in2 many2 aspects2 of2 life2
mujhe1 lagta1 hai1 wo1 historically2 correct2 hai1 . End1 me1 300000 ko1 rescure2 kar1 liya1 jata1 hai1,"i2 , it2 the2 the2 , , , , the2 the2 . . . . . . .","I2 think2 it2 is2 historically2 correct2 . In2 the2 end2 , more2 than2 300000 are2 rescued2 ."
"haan1 , tom2 hardy2 Eames2 mein1 bahut1 different1 lag1 rha1 h1 . Mujhe1 waha1 batman1 se1 yaad1 h1 .","i2 , , it2 the2 , . , , the2 . . . . . . . .","YEah1 , tom1 hardy2 as2 Eames2 is2 prolly2 really2 different2 . I2 always2 remember2 him2 from2 batman2"
tom1 uska1 husband1 hein1,"i2 , .",Tom2 is2 her2 husband2 .
Alvida1,bruce2 .,Good1 bye1
kya1 tum1 mujhe1 pasand1 kar1 sakti1 ho1 .,"the2 , a2",do1 you2 like2 we2 can2
oh1 woh1 theme1 park2 funny2 tha1,"i2 , . the2 . . .",oh1 the1 theme2 park2 was2 funny2
frankly2 uski2 movies1 me1 jyada1 meaning1 aagayi1 aur1 jyada1 majedaar1 same1 time2 pe1 hogayi1,"i2 , , it2 the2 , . . . . . . .",frankly2 his2 movies2 have2 got2 lot2 more2 meaning2 and2 are2 more2 fun2 at2 the2 same2 time2
IS1 MOVIE1 MEIN1 THO1 TORN1 HI1 BEHETAR1 CRITICS1 SE1 SAATH1,"i2 , , it2 the2 . <unk> . .",Critics2 seemed2 to2 be2 torn2 about2 the2 movie2 ..
mujhe1 nahin1 pata1 .,"i2 , .",I2 don't2 know1 .
"mujhe1 pata1 hai1 ki1 ek1 magaramachchh1 shikaaree1 ko1 dhoondhata1 hai1 aur1 un1 logon1 ko1 nikaalata1 hai1 . shaark1 ko1 khojane1 ke1 lie1 philm1 mein1 unhonne1 kvint1 , richard2 drephas1 ko1 bhugataan1 kiya1 . asal1 jindagee1 mein1 kaun1 aisa1 karega1 ? main1 nahin1 !","i2 , . the2 , , , , , the2 , the2 . the2 . . . . . . . . . . . . . . . . . . . . . . . .","I1 know2 theres2 an2 alligator2 hunter2 that2 finds2 and2 removes2 those2 guys2 . In2 the2 movie2 they2 paid2 Quint2 , Richard2 Dreyfus2 to2 find2 the2 shark2 . Who2 would2 do2 that2 in2 real2 life2 ? Not1 me1 !"
Yahi1 nhi1 baz1 lurhmann1 ki1 shandaar1 direction1 ne1 bhi1 roke1 rakha1,"i2 , , it2 the2 . . . . .","Not2 only2 that2 , but2 Baz2 Lurhmann's2 direction2 was2 a2 magnificent2 sight2 to2 behold2"
IMDB2 KE1 ALAVA1 . NAHI1,"i2 , .","Other2 than2 IMDB2 , no2"
"Well2 , main2 comics2 k2 baare1 me1 to1 nahi1 keh1 sakta1 ( nahi1 padha1 hu1 ) but2 ye1 movie1 sabhi1 heroes2 aur1 unke1 stories2 ka1 badhiya1 mashup1 hai1","i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . . .","Well2 , I2 can2 ’ t2 speak2 for2 the2 comics2 ( haven2 ’ t2 read2 them2 ), but2 this2 movie2 is2 a2 great2 mashup2 of2 all2 the2 heroes2 and2 their2 stories2 ."
To2 dragon2 ka1 naam1 Hiccup1 hai1 ?,"it2 , a2 the2 .",So2 the2 dragon's2 name2 is2 Hiccup2 ?
"haan1 , mein1 dekh1 sakta1 hoon1 woh1 usme1 ek1 book1 ke1 baare1 mein1 mention1 kar1 rahe1 hai1 jo1 kaafi1 puraani1 hai1","i2 , , it2 the2 , , , , , the2 the2 . . . . . . . . .","oh1 yeah1 , i1 see1 them2 mention2 the2 book2 in2 the2 document2 which2 is2 really2 old2"
Kya1 aapake1 paas1 man1 par1 ek1 vishisht1 udaaharan1 hai1 ?,"the2 , is2 the2 of2 the2 .",Do1 you2 have2 a2 specific2 example2 on2 mind2 ?
mujhe1 lagata1 hai1 ki1 myfachai1 aur2 spachaibook1 naamak1 samaanaantar1 netavark1 hona1 chaahie1 .,"i2 , . the2 the2 , . the2 . . . . . .",I2 think2 there2 should2 be2 parallel2 networks2 called2 myface2 and2 spacebook2 .
sade2 tomatoes2 ne1 bhi1 89% diye1,"i2 , a2 the2 .",even2 rotten2 tomatoes2 gave2 it2 89%
Bahut1 interesting2 . Kya1 special2 effects2 achhe1 hai1 ?,"it2 , a2 the2 a2 <unk>",Very2 interesting2 . Are1 the2 special2 effects2 nice2 ?
koee1 Actor1 nahin1,i2 .,No1 the2 Actor2
Oh1 really1 ? wo2 movie1 nahi1 dekhi1 abhi1 tak1,"the2 , is2 the2 of2 the2 .",Oh1 really1 ? I2 havent2 seen2 that2 movie2 yet2
"Jesse2 Eisenberg2 ne2 bahut1 achha1 kaam1 kiya1 hai1 brilliant2 hero2 ka1 role2 play2 krke2 , Founder2 Mark2 Zuckerberg2 . Mujhe1 laga1 ki1 yeh1 romaanchak1 aur1 sahaj1 perceptive2 hai2 .","i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . . .","Jesse2 Eisenberg2 did2 a2 good2 job2 of2 playing2 the2 brilliant2 hero2 , Founder2 Mark2 Zuckerberg2 . I2 thought2 it2 was2 exciting2 and2 instinctivly2 perceptive2 ."
tumko1 surround2 sound2 ki1 bahut1 jayada1 jarurat1 hai1 .,"i2 , . the2 . . .",You2 definitely2 need2 surround2 sound2 .
awards2 ki1 baat1 karun1 to1 main2 believe2 nahi1 kar1 sakta1 ki1 Leo2 ne1 iske1 liye1 Oscar1 nahi1 jita1,"i2 , , it2 the2 , , , , the2 the2 . . . . . . .",Speaking2 of2 awards2 I2 cannot2 believe2 that2 Leo2 didn't2 win2 an2 oscar2 for2 this2
Aur1 konsa1 main1 character2 hai1 ? Kya1 tumhe1 yaad1 hai1 .,"the2 , is2 the2 of2 the2 the2 .",what2 was2 the2 other2 main2 character2 ? Do1 you2 remember2 .
"mujhe1 lagata1 hai1 ki1 agar1 patty2 jenkins2 ek2 seekval1 ka1 nirdeshan1 karatee1 hai1 , to1 yah1 pahale1 vaale1 kee1 tarah1 achchha1 hoga1 iss1 movie1 ke1 saath1 unhonne1 bahut1 achchha1 kaam1 kiya1 .","i2 , it2 the2 the2 , , , , the2 , the2 , . the2 . the2 . . . . . . . . . . . . .","I2 think2 if2 Patty2 Jenkins2 directs2 a2 sequel2 , it2 would2 be2 as2 good2 as2 the2 first2 one2 . She2 did2 a2 great2 job2 with2 this2 movie2 ."
mein1 ne1 robotic2 movies2 ke1 baare1 mein1 suna1 hoon1 ...,"i2 , , it2 . <unk> .",i2 heard2 it2 is2 a2 robotic2 movie2 ... i2 sit2 so2 ?
"is2 cast2 mein1 angelina1 jole2 maleficent2 ke2 role1 kiya1 hein1 , aur1 sarlto2 copley2 , stefan2 ke1 role1 . elle2 fanning2 - aurora2 ka1 role1 , sam2 riley-diave2 , imelda2 stunton2 - knotgrass2 ke2 role1 kiya1 hein1","i2 , .","The2 cast2 includes2 Angelina2 Jolie2 as2 Maleficent2 , Sarlto2 Copley2 as2 Stefan2 , Elle2 Fanning2 as2 Aurora2 , Sam2 Riley2 as2 Diaval2 , and2 Imelda2 Stunton2 as2 Knotgrass2"
"maine1 pehli1 wali1 dekhi1 thi1 aur1 wo1 really2 good1 thi1 , lekin1 tab1 mere1 bacche1 young2 they2 . Ab1 mere1 pas1 koi1 reason1 nahi1 hai1 isey1 dekhne1 ka1 .","i2 , it2 the2 the2 , . the2 , the2 , the2 , . the2 . the2 . . . . . . . . . . . . .","I2 saw2 the2 first2 one2 and2 it2 was2 really2 good2 , but2 my2 kids2 were2 young2 then2 . Now1 I2 have2 no2 reason2 to2 see2 it2 ."
TUM1 KAHANSE1 SURU1 KARNA1 CHAHATE1 HO1,"i2 , . .",where2 would2 you2 like2 to2 start2 ?
Kya1 Superman2 kidnapper2 k2 sath1 ladta1 hai1 ?,"it2 , a2 the2 of2 the2",Does2 Superman2 have2 a2 fight2 with2 kidnapper2 ?
"halaki1 , jab1 Hiccup1 lagabhag2 toothless2 ko1 chhudane1 ki1 koshish1 mein1 doob1 jata1 hai1 , to1 stoick2 apane1 bete1 ke1 saath1 un1 dono1 ko1 bacha1 leta1 hai1","i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . <unk> . . . . . . .","However2 , when2 Hiccup2 almost2 drowns2 trying2 to2 free2 toothless2 , Stoick2 saves2 them2 both2 , reconciling2 with2 his2 son2"
aap1 kese1 ho1 ! kya1 tumne1 La1 La1 land2 movie2 dekhi1 ?,what2 you2 you2 the2 of2 the2 the2 the2 ? ?,Hello1 ! Have1 you2 seen2 the2 movie2 La2 La1 Land1 ?
"wo1 hai1 , but1 sab1 ke1 khud1 k2 preference2 hote2 hai1 .","i2 , , it2 the2 , . . . . . .","it2 is2 , but2 everyone2 has2 their2 own2 preference2"
main2 Frozen2 ko2 love1 karata1 hoon1 !,"i2 , . it2",I1 love2 Frozen2 !
MUJHE1 EISA1 LAGA1 KI1 KOI1 KUCH1 AUR1 KISI1 KE1 BARE1 ME1 KAH1 RAHA1 HAI1,"i2 , , it2 the2 , . . . . . . .",i1 see1 like2 a2 thing2 saying2 what2 its2 about2 and2 whos2 in2 it2
hum1 un1 dono1 ko1 unke1 older2 aur2 younger2 days2 mein1 dekhte1 haun1,"i2 , , it2 the2 , , the2 . the2 . . .",We1 see2 them2 both2 in2 their2 older2 days2 and2 younger2 days2 .
"Badiya1 . Mujhe1 lagata1 hai1 ki1 yeh1 param1 savaalon1 mein1 se1 ek1 hai1 , kaun1 dusre1 ko1 hara1 sakta1 hai1 . Kya1 ve1 film1 mein1 team2 up2 krte1 hai1 ?","i2 , , it2 a2 , <unk> , . the2 . . . . . . . . . . . .","Cool1 . I2 guess2 that's2 one2 of2 the2 ultimate2 questions2 , which2 one2 could2 beat2 out2 the2 other2 . Do1 they2 team2 up2 at2 all2 in2 the2 film2 ?"
hahaha1 uh1 oh1,i2 .,hahaha1 uh1 oh1
"vo1 main1 vala2 dragon2 , usko1 dant1 nahi1 hi1 , vo1 tho1 bahut1 friendly2 lag1 raha1 hi1","i2 , . the2 the2 , , , , , the2 the2 . . . . . .","The2 main2 dragon2 , Toothless2 , looks2 very2 friendly2"
I2 believe2 ki1 mujhe1 aapko1 batana1 chahiye1 ki1 aapko1 kyun1 Social2 Network2 read2 karna1 chahiye1 .,"i2 , , it2 the2 , . . . . . . . .",I2 believe2 I2 am2 supposed2 to2 convey2 to2 you2 why2 you2 should2 read2 The2 Social2 Network2
ha1 it2 does2 badhya2,"i2 , .",It2 does2 .
"Oh1 , itni1 lambi1 hai1 bhi1 nahi1 .","i2 , . it2 . .",Oh1 that's2 not2 even2 that2 long2
kya1 tumhara1 favorite2 character2 hai1 .,"the2 , .",Do1 you2 have2 a2 favorite2 character2 .
Jab1 unka1 band1 has2 the2 first2 tour2 Mis2 and2 Sebastian2 mey2 bahas1 ho1 gayee1 . Usko1 lagta1 hain1 she2 wants2 him2 to2 be2 unsuccessful2 .,"i2 , it2 the2 the2 , , , , , the2 , the2 . the2 . the2 . . . . . . . . .",When2 their2 band2 has2 the2 first2 tour2 Mis2 and2 Sebastian2 get2 into2 an2 argument2 ! He2 thinks2 she2 wants2 him2 to2 be2 unsuccessful2
Lekin1 they2 won2 . Nixon2 paagal1 ho1 gaya1 aur1 The1 post1 ko1 White1 house2 se1 bar1 kar1 diya1 .,"i2 , , it2 the2 , . . . the2 . . . . . . .",But2 they2 won2 . Nixon2 god2 mad1 and2 barred2 The2 post2 from2 the2 White2 house2
kya1 is1 film1 mein2 league2 ka2 shadows2 hein2 > wait1 yaani1 Neeson1 hi1 Ras1 algul1 hein1 ?,"what2 , you2 the2 of2 the2 the2 the2 the2 the2 the2 the2 . ?",The2 league2 of2 shadows2 is2 in2 the2 film2 !? Wait2 so2 that2 means2 Neeson2 is1 Ras1 Algul1 ?
kya1 tumne1 move1 dekhi1 hai1 ?,"what2 , a2",have2 you2 seen2 the2 mmovie2 ?
"Mujhe1 lagta1 hai1 tumhe1 bahut1 pasand1 aayegi1 . Main2 critics2 ki1 baat1 hamesha1 nahi1 maanta1 , pata1 nahi1 kya1 chal1 rah1 hai1 unke1 sath1 .","i2 , , it2 the2 , . . . the2 . . . . . . . . . . .","I2 think2 you'll2 really2 like2 it2 . I2 don't2 always2 believe2 the2 critics2 , you2 never2 know2 what2 else2 is2 going2 on2 with2 them2 ."
Is1 ilaake1 ka1 ek1 hi1 snowman2 hai1 aur1 wo1 frosty2 hai1,"i2 , , it2 the2 , . . .","There2 can2 only2 be2 one2 neighborhood2 snowman2 , and2 that's2 Frosty2 ! : O2"
hi1,bruce2 can2,hi1
"well2 , Kevin2 jo1 he1 vo2 youngest2 he2 aur1 uska1 older2 brother2 Buzz2 he2 , vo1 jiske1 sath1 vo1 fight1 karta1 he1 ?","i2 , , it2 the2 , <unk> , . the2 . . . . . . . .","Well2 there's2 Kevin2 , the2 youngest2 , and2 his2 older2 brother2 Buzz2 , who2 he2 gets2 in2 a2 fight2 with2 ."
ek1 thandee1 philm1 kee1 tarah1 lagata1 hai1 ! kya1 aap1 bata1 sakate1 hain1 ki1 yah1 kis1 baare1 mein1 hai1 ?,"what2 , is2 the2 of2 the2 the2 , the2 the2 the2 the2 .",Sounds2 like2 a2 cold2 movie2 ! Can2 you2 tell1 me1 what2 it's2 about2 ?
Mujhe1 always2 interesting2 lagta1 hai1 dekhne1 me1 ki1 actor1 ki1 demands2 kaha1 tak1 pahuch1 sakti1 hai1 . I2 think2 wo1 baki1 sabhi1 ke1 sath1 badhiya1 fit1 hua1 .,"i2 , it2 the2 the2 , , , , the2 , the2 , . the2 . . . . . . . . . . . .",I2 always2 find2 it2 interesting2 to2 see2 what2 sort2 of2 demands2 actors2 can2 get2 into2 . I2 think2 he2 fit2 in2 with2 everyone2 else2 really2 well2 .
"jese1 hi1 thecast2 suna1 , usne1 dekha1","i2 , . the2 . .","by2 hearing2 thecast2 , it2 looks2"
kuch1 ache2 reviews2 bhi1 hein1,"i2 , .",It2 has2 some2 great2 reviews2 too2 .
ve1 sabhee1 kee1 jaroorat1 beeyar1 aur1 bandookon1 ke1 saath1 logon1 ka1 ek1 samooh1 tha1,"i2 , , it2 the2 , , , the2 . . . . . .",all2 they2 needed2 was2 a2 bunch2 of2 guys2 with2 beer2 and2 guns2 lol2
"I1 see1 , yah1 to1 us2 movie1 ki1 tarah1 sound1 kar1 raha1 hai1 jiska1 ek1 well2 developed2 story2 line1 hai1","i2 , , it2 the2 , , , , , the2 , . . . . . . . .",I1 see1 . It2 sounds2 like2 a2 movie2 that2 has2 a2 well2 developed2 story2 line2
Scarecrow2 tho1 badi1 scary2 character2 hein1 . voh1 tho1 water2 supply2 ko2 poison2 kar1 raha1 tha1,"i2 , , it2 the2 , . . . . . . .",The2 scarecrow2 was2 particularly2 scary2 character2 . trying2 to2 poison2 the2 water2 supply2
kuch1 sense1 mein1 hai1 lekin1 isme1 kuch1 drama1 bhi1 hai1,"i2 , , it2 the2 . . . . .","In2 some2 senses2 it2 is2 , but2 it2 also2 has2 some2 drama2 too2 ."
dimag1 se1 sahi1 koi1 bhi1 nahi1,"i2 , . .",No2 one2 in2 their2 right2 mind2 .
ha1 muje1 idea2 mil1 gaya1,"i2 , . it2 . .",okay1 I2 get2 the2 idea2
action2 ?,what2 you2,action2 ?
film1 ka1 kya1 naam1 hai1,"the2 , .",What's2 the2 name2 of2 the2 movie2
kya1 aap1 soch1 sakate1 hain1 ki1 indiyaana1 jons1 hairisan2 phord1 dvaara1 nahin1 khela1 gaya1 tha1 ??,what2 you2 you2 the2 of2 the2 the2 the2 the2 the2 the2 the2 ? ?,can2 you2 imagine2 Indiana2 Jones2 not2 been2 played2 by2 Harrison2 Ford2 ??
nahi1 yar1 voh1 thik1 tha1,"i2 , . it2 . .","No1 , he2 is2 right2"
"me1 un1 sab1 ko1 love1 karti1 hu1 , isliye1 me1 kisi1 ek1 ko1 apna1 favorite1 nahi1 kah1 sakti1 .","i2 , it2 the2 the2 , , , , the2 . . . . . . . . .","I1 love1 all2 of2 them2 , so2 I2 can't1 say2 that2 I2 have2 a2 favorite2"
nahin1 hai1,i2 .,Have2 not2
muje1 uska2 difference2 ke1 baare1 mein1 kuch1 patha1 hein1,"i2 , , it2 the2 . . . .",I1 know2 the2 difference2 .
sade1 hue1 tamaataron1 par1 ise1 keval1 89 pratishat1 mila1 . mainne1 socha1 tha1 ki1 yah1 ek1 uchch1 ank1 praapt1 karega1 .,"i2 , , it2 the2 , , , , the2 , . the2 . . . . . . .",It2 only2 got2 an2 89 percent2 on2 rotten2 tomatoes2 . I2 thought2 it2 would2 get2 a2 higher2 score2 .
"oh1 god1 yanha1 par1 ab1 bahut1 si1 superhero2 movies1 , jise1 me1 sach1 me1 nahi1 bata1 sakta1","i2 , , it2 the2 , . . . the2 . . . .",oh1 god1 there2 are2 so2 many2 superhero2 movies2 now2 that2 i1 really2 couldnt2 tell2 you1
kuch1 kuch1,i2 .,kind2 of2
Muje1 pata1 nahi1 tha1 wo2 IMAX2 film2 me1 shoot1 kiya1 tha1,"i2 , , it2 the2 , . the2 . . . .",I2 didn't2 know2 that2 it2 was2 shot2 on2 IMAX2 film2 .
Tumhe1 bahut1 pasand1 aayegi1,"i2 , .",U2 will2 love2 it2
"THO1 AAPKA1 KYA1 SOCH1 HEIN1 , KI1 KAHA1 VOH1 WRONG1 KAR1 SAKTHE1 ?","i2 , is2 the2 a2 , <unk> . <unk> . .",Do1 you2 think2 that2 what2 they2 did2 was2 wrong2 ?
haa1,i2 .,YES1
"mujhe1 woh1 Wiry1 , trite2 aur2 egotistical2 laga2 . Mujhe1 sirf1 who2 qualities2 apne1 mein1 lagta1 hai1 .","i2 , it2 the2 the2 , . , , , the2 , . the2 . . . . .","I2 find2 her2 Wiry2 , trite2 , and2 egotistical2 . I2 only2 enjoy2 those2 qualities2 in2 myself2 ."
hi1,bruce2 can2,hi1
mein1 bhi1 aapko1 agree1 kartha1,"i2 , . the2 . .",I2 agree2 with2 you1
so1 koi1 maovie1 hai1 dimak1 mai1,"it2 , . it2",So2 you2 have2 any2 movie2 in2 mind2 ? :)2
sure1 hee1,i2 .,for2 sure2
"saccha1 yi1 se1 , jab1 mi1 ne1 dekte1 hu1 movies2 ko1 , mi1 ne1 utna1 attention1 nahi1 rakta1 hu1 , ye1 koun1 banaya1 hi1 .","i2 , . the2 the2 , , , , the2 , the2 , . the2 . . . . . . . . . .","Honestly2 , when2 I2 watch2 movies2 , I2 hardly2 ever2 pay2 attention2 to2 who2 made2 it2 ."
"yes1 , ye1 bahut1 refreshing2 outlook2 hai2 as1 a2 whole2 series2 and2 characters2 ke1 liye1 ek1 nice2 background1 bhi1 provide1 kiya1 isne1 .","i2 , , it2 the2 , . , , the2 . the2 . . . . . . . . . .","Yes1 , it2 was2 a2 refreshing2 outlook2 on2 the2 series2 as2 a2 whole2 and2 provided2 a2 nice2 background2 for2 the2 characters2 ."
"kuchh1 , lekin1 mainne1 is1 abhyaas1 ke1 uddeshyon1 ke1 lie1 socha1 , hamen1 apanee1 baatacheet1 ko1 dastaavez1 mein1 dee1 gaee1 jaanakaaree1 tak1 hee1 seemit1 rakhana1 chaahie1 ?","i2 , , it2 the2 , . <unk> , . the2 . . . . . . . .","A2 few2 , but2 I2 thought2 for2 purposes2 of2 this2 exercise2 , we2 must2 confine2 our2 conversation2 to2 the2 information2 in2 the2 document2 ?"
Great2 production2 aur1 vintage2 costume2 shandar2 the2,"i2 , . the2 . .",great2 production2 and2 the2 vintage2 costumes2 were2 magnificent2
yeah1 me1 agree2 hu1 . ye1 definitely2 uske1 sath1 kuch1 turn1 leta1 he1 ! ha1 mene1 socha1 ki1 hoh1 ek1 great2 director2 tha1 !,"i2 , . the2 the2 , . , , the2 , the2 , . the2 . . . . . . . . .",Yeah1 I2 agree2 . It2 definitely2 took2 a2 few2 turns2 with2 that2 one2 ! Yes1 I2 thought2 he2 was2 a2 great2 character2 !
Mujhe1 yaad1 hai1 jab1 ye1 trailer2 bahar1 aaya1,"i2 , , it2 the2 . . . .",I2 remember2 when2 the2 trailer2 came2 out2 .
"Hi1 , main1 keh1 raha1 tha1 kaise1 Justin2 Timberlake2 aurJesse2 Eisenberg2 kaafi2 ache2 actors2 hain1","i2 , , it2 the2 , . . . . . . .",Hi1 . I2 was2 saying2 how2 Justin2 Timberlake2 and2 Jesse2 Eisenberg2 were2 pretty2 good2 actors2 .
I2 guess2 so2 . Akhir1 Chitauri1 k1 leader1 ka1 kya1 mamla1 hai1 . Kaafi1 mysterious2,"i2 , , it2 the2 , . . . . . . . .",I2 guess2 so2 . I2 wonder2 what2 the2 deal2 is2 with2 the2 leader2 of2 those2 Chitauri2 ? Very2 mysterious2 .
"Wow1 , ye1 to1 kaafi1 accha1 hai1 , To1 plot2 k1 sath1 kya1 hota1 hai1 ?","it2 , is2 the2 a2 , <unk> , <unk> the2 . <unk> .",Wow1 that2 is2 pretty2 good2 . So1 what2 happens2 with2 the2 plot2 ?
Mere1 liye1 yah1 bahut1 harsh1 hai1,"i2 , . .",That2 to1 me1 is2 very2 harsh2
"meril2 streep2 ke1 lie1 sunishchit1 karen1 . ek1 pramukh1 samaachaar1 srot1 kee1 pahalee1 mahila1 prakaashak1 hone1 ke1 naate1 , sangharsh1 mein1 apane1 hisse1 ko1 dekhana1 vaastav1 mein1 aashcharyajanak1 tha1 aur1 us1 bhoomika1 ke1 lie1 yah1 kaise1 adviteey1 tha1","i2 , , it2 the2 , , , , the2 , . the2 . . . . . . . . . . . . . . . . . . .","Meryl2 Streep2 for2 sure2 . being2 the2 first2 female2 publisher2 of2 a2 major2 news2 source2 , it2 was2 really2 amazing2 to2 see2 her2 part2 in2 the2 struggle2 and2 how2 it2 was2 unique2 to2 that2 role2"
yah1 bhayaanak1 tha1 . main1 hairaan1 tha1 kyonki1 vah1 shuroo1 mein1 itana1 hans1 pasand1 karatee1 thee1,"i2 , it2 the2 the2 , , , , the2 the2 . . . . . .",it2 was2 scary2 . i1 was2 surprised2 since2 she2 liked2 hans1 so2 much2 at2 the2 start2
or1 sabse1 acha1 agar2 direcTV2 par2 free1 mai1 dekhne1 ko1 mile1,"i2 , , it2 the2 , . . .","Or1 even2 better2 , if2 direcTV2 plays2 them2 for2 free2 , I'll2 totally2 watch2 it2"
nhi1,bruce2 .,no1 -
haan1 muje1 bahut1 pasand1 hein1 . kon1 actor1 ?,"i2 , . the2 . .","Yes1 , I1 love2 Batman2 movies2 ! Who2 is2 the2 actor2 ?"
"Monsters2 University2 ek2 sequel2 hai1 , mujhe1 wonder1 hoga1 ki1 agar1 se1 first2 movie2 se2 better1 hai1 .","i2 , it2 the2 the2 , , , , , the2 the2 . the2 . . . . .","Monsters2 University2 is2 a2 sequel2 , I2 wondered2 if2 it2 is2 better2 than2 the2 first2 movie2"
"zack2 snyder2 hi2 director2 hein2 , rotten2 tomatoes2 ne2 tho1 27% deya1 jo1 4.9/10","i2 , , it2 the2 , . . . the2 . . . .","The2 director2 is2 Zack2 Snyder2 , 27% Rotten2 Tomatoes2 , 4.9/10."
Uske1 baare1 mein1 nahi1 suna1 maine1 . Lagta1 hai1 accha1 movie1 hai1 . Already1 muje1 us1 movie1 ka1 plot2 accha1 laga1 . Kaun1 play1 kar1 raha1 hai1 usme1 ?,"it2 , is2 the2 a2 , <unk> , the2 . the2 . <unk> . . <unk> . . <unk> . <unk> .",I2 have2 not2 heard2 about2 it2 . If2 sounds2 like2 it2 would2 be2 a2 good2 movie2 . I2 already2 like2 the2 plot2 of2 the2 movie2 . Who2 plays2 in2 it2 ?
mere2 converstation2 chalu1 hai1 . have1 a2 great2 day2 !,"i2 , , it2 . <unk> . .",Conversation's2 up2 for2 me1 . Have2 a2 great2 day2 !
agar1 wo1 Keira2 knightly2 se2 marriage1 karega1 to1 mai1 shayad1 T1 . V1 . par1 hi1 shout2 karne1 lagu1 .,"i2 , , it2 the2 , , , , the2 , . . . . . . . .",If2 he2 marries2 Keira2 knightly2 i2 may2 be2 shouting2 at2 my2 T2 . V2 .
oh1 tho1 sahi1 hein1 ! muje1 tho1 bhool1 hi1 gaya1 ki1 voh1 overheard2 hein2 is2 conversation2 mein1 .. muje1 khus1 hein1 ki1 Tom2 hank's2 ka2 character2 figure2 out2 kar1 sakthe1 aur1 info1 ko1 leaked1 huva1 aur1 saari1 info1 jo1 unhe1 post1 karne1 ko1 soch1,"i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . . . . . . . . . , . , . . <unk> . . . . . . . . .","Oh1 , you're2 right2 ! I2 forgot2 that2 he2 had2 overheard2 that2 conversation2 . I'm2 glad2 Tom2 Hank's2 character2 was2 able2 to2 figure2 out2 it2 was2 he2 who2 had2 leaked2 the2 info2 , and2 got2 all2 of2 the2 information2 he2 needed2 for2 the2 Post2 ."
"yadi1 aap1 aitihaasik1 philmon1 ko1 pasand1 karate1 hain1 , to1 mera1 matalab1 hai1 - benedikt1 bhayaanak1 btw1 tha1","i2 , .",If1 You1 like2 historical2 movies2 like2 that2 I2 mean2 - Benedict2 was2 awesome2 btw2
main1 nahi1 janta1 Sully2 ka1 baaki1 characters2 ke2 comparison2 mein1 itna1 pretentious2 background2 tha1 . Isse1 samajh1 aata1 hi1 sirf1 wahi1 kyun1 Roar1 Omega2 Roar1 mein1 accept2 huya1 .,"i2 , it2 the2 the2 , . , , , the2 , the2 . the2 . the2 . . . . . . . . . . . .",I2 didn't2 know2 Sully2 had2 such2 a2 pretentious2 background2 compared2 to2 other2 characters2 . It2 explains2 why2 only2 he2 was2 accepted2 into2 Roar2 Omega2 Roar2 .
Muujhe1 Bruce2 Almighty2 acchi2 lagi1 kyuki1 wo1 comedy2 thi1 aur1 mujhe1 comedy1 pasand1 hai1 . Mujhe1 ye1 bhi1 accha1 laga1 kaise1 usme1 god1 aya1 jo1 ki1 sab1 movies1 me1 nahi1 ata1 . Tumhe1 Bruce2 almighty2 me1 sabse1 jyada1 accha1 kya1 laga1 ?,"i2 , , it2 the2 , , , , the2 , . the2 . . <unk> . . . . . . . . . . . . . <unk> , . <unk> . . .","I2 enjoyed2 that2 Bruce2 Almighty2 was2 a2 comedy2 because2 I2 enjoy2 a2 good2 laugh2 . I2 also2 liked2 how2 the2 movie2 introduced2 God2 , which2 not2 many2 movies2 do2 . What2 did2 you2 like2 most2 about2 Bruce2 Almighty2 ?"
"uske1 scenes2 rewind2 karta1 raha1 , badhiya1 actress2","i2 , . the2 . .",kept2 rewinding2 her2 scenes2 ! Great2 actress2
haan1,i2 .,yes1
