Batman2 vs2 Superman2 	batman2 vs2 superman2 
Interesting2 Scarecrow2 is2 even2 in2 the2 film2 . That2 seems2 like2 a2 lot2 of2 plot2 if2 they2 have2 multiple2 villans2 in2 the2 film2 . 	Film1 mein1 Scarecrow2 bhi1 bahut1 dilchasap1 hai1 . Tab1 kafi1 saare1 plot2 lagte1 hai1 agr1 film1 mein1 bahut1 saare1 villans2 ho1 to1 . 
How2 was2 the2 story2 in2 your2 opinion2 ? 	Apki1 raay1 se1 story1 kaisi1 thi1 ? 
It2 does2 not2 crowd2 the2 film2 in2 my2 opinion2 . Unlike2 how2 it2 turned2 out2 with2 Batman2 and2 Robin2 . 	Mere1 raay1 se1 yeh1 film1 ko1 bhara1 hua1 nhi1 dikhate1 . Iske1 vipreet1 yeh1 Batman1 aur1 Robin1 ke1 saath1 kaise1 hua1 . 
You2 can2 have2 multiple2 villians2 as2 long2 as2 you2 use2 them2 correctly2 	Tum1 bahut1 se1 villians2 le1 skte1 ho1 jab1 tak1 ki1 tum1 unhe1 achhe1 se1 use1 krte1 ho1 
I2 thought2 it2 was2 a2 great2 story2 . OVerall1 very2 solid2 	Mujhe1 lagta1 tha1 ki1 ye1 ek1 mahan1 kahani1 hai1 . Kul1 milaakar1 bahut1 solid2 
I2 agree2 , does2 the2 League2 ever2 bump2 heads2 with2 Crane2 in2 the2 film2 ? 	Han1 main1 sehmat1 huin1 , kya1 Leagu1 kabhi1 film1 mein1 Cran2 ke1 saath1 sir1 kaatte1 hai1 ? 
Or1 do1 they2 work2 together2 ? 	Aur1 kya1 ve1 ek1 saath1 kaam1 karte1 hai1 ? 
Yes1 , and2 it2 fits2 naturally2 . 	Han1 , aur1 yeh1 svaabhaavik1 roop1 se1 fit1 baithta1 hai1 . 
Helllo1 	Hello1 
Hi1 , there2 . 	Hi1 , there2 . 
I2 guess2 we2 are2 to2 talk2 about2 the2 movie2 	Mujhe1 lagta1 hai1 hum1 Movie1 ke1 baare1 me1 baat1 kar1 rahe1 hai1 
Have2 you2 seen2 it2 	Kya1 tumne1 use1 dekha1 hai1 
Yeah1 - I2 wanted2 to2 talk2 about2 it2 because2 I2 like2 how2 David2 Fincher2 directed2 it2 . 	Yeah1 - me1 uske1 baare1 me1 baat1 karna1 chahta1 hun1 , jaise1 David2 Fincher2 ne2 ise1 direct1 kiya1 mujhe1 pasand1 aaya1 . 
ok1 	Ok1 
Did1 you1 see2 it2 ? 	kya1 aap1 dekha1 ? 
did2 you2 enjoy2 it2 	kya1 aap1 enjoy1 kiya1 
yes1 i1 did2 	haan1 yar1 
Yeah1 , a2 lot2 . Sorkin2 and2 Fincher2 sure2 laced2 their2 scathing2 wit2 with2 an2 aching2 sadness2 , you2 know1 ? I2 guess2 everybody2 says2 that2 , though2 . 	bahut1 yar1 .. sorkin1 aur1 fincher2 tho1 apni1 aching2 sadness2 ko1 tho1 badiya1 scathing2 kare1 .. aapko1 patha1 hein1 ? i2 guess1 ki1 sabhi1 aise1 hi1 sochthe1 honge1 .. 
ok1 , i1 wasnt2 aware2 it2 was2 based2 on2 a2 book2 	ok1 , muje1 iska1 koi1 aware1 nahi1 hein1 .. lekin1 yeh1 book1 ke2 based2 hoga1 
Yeah1 . Though2 I2 guess2 the2 movie2 isn't2 quite2 as2 factual2 as2 the2 book2 ? And2 that2 the2 book2 is2 pretty2 heavily2 debated2 . 	haan1 .. book1 se2 compare2 kare1 tho1 yeh1 movie2 itna1 bhi1 ache1 nahi1 hein1 kyon1 ? aur1 book1 tho2 heavily2 debated2 tha2 
I1 see1 	acha1 
You2 remember2 that2 bit2 where2 Zuckerberg2 gets2 dumped2 and2 then2 writes2 a2 mean2 post2 about2 his2 ex2 ? 	aapko1 yaad1 hein1 ki2 zuckerberg2 tho1 kuch1 samai1 dumped2 tha1 aur1 voh1 apne1 ex1 se1 badi1 mean1 tha1 
Im2 not2 a2 fan2 of2 facebook2 or2 zukerbeg2 , but2 I2 thought2 the2 movie2 was2 well2 done2 . I1 dont2 remember2 that2 part2 specifically2 	mein1 zukerberg2 ka1 fan1 nahi1 hoon1 , lekin1 movie1 tho1 badiya1 nikla1 .. muje1 uska1 yaad1 kuch1 nahi1 aatha1 
Yeah1 , no1 , I'm1 no2 fan2 of2 either2 , either2 . But2 it2 was2 that2 scene2 that2 kind2 said2 everything2 that2 needed2 to2 be2 said2 about2 the2 mentality2 behind2 that2 site2 . I2 thought2 that2 was2 pretty2 brilliant2 . 	haan1 yar1 , mein1 bhi1 uska1 fan1 nahi1 hoon1 .. lekin1 is2 scene2 mein1 tho1 kuch1 aise1 dekhaya1 gaya1 hein1 ki1 voh1 usse1 mentaly2 lead2 kar1 raha1 hein1 .. voh1 tho2 brilliant2 hein2 . 
it2 seems2 to2 be2 highly2 rated2 	ye1 kafi1 high2 rated2 dikhti1 hai1 
Yeah1 . It's2 definitely2 a2 strong2 movie2 . I2 mean2 , it's2 a2 movie2 about2 Facebook2 that2 is2 actually2 watchable2 . That's2 saying2 something2 . 	Han1 . ye1 definitely2 ek2 strong2 movie2 hai1 . Mera1 matlab1 , ye1 facebook1 par1 aisi1 movie1 hai1 jo1 watchable2 hai1 . Bahut1 badi1 baat1 hai1 . 
yes1 Iwas2 thinking2 that2 as2 well2 	han1 main1 bhi1 yahi1 soch1 raha1 tha1 . 
it2 is2 even2 more2 trajic2 where2 it2 has2 brought2 us2 politically2 	ye1 aur1 bhi1 tragic1 hai1 ki1 ye1 hume1 politically2 kahan1 le1 aya1 
For2 sure2 . And1 I2 feel2 like2 it's2 all2 in2 that2 bit2 where2 Sean2 Parker2 has2 his2 line2 about2 " You1 know1 what1 IS1 cool1 ? A2 billion2 dollars2 ." Like2 , it's2 presented2 as2 a2 way2 to2 keep2 people2 in2 touch2 , but2 it's2 really2 the2 coldest2 corporate-type2 of2 thing2 . 	sach1 mein1 . Aur1 mujhe1 lagta1 hai1 ye1 sab1 usme1 bit1 mein1 hai1 jahan1 Sean1 Parker2 ki1 line1 hai1 " You1 know1 what1 IS1 cool1 ? A2 billion2 dollars2 .". Like1 , ye1 aise1 way1 mein2 presented2 hai1 ki2 people2 touch1 mein1 rahein1 , par1 ye1 really1 bohat2 cold-corporate2 type2 ki1 thing1 hai1 
yes2 greed2 is2 powerfull2 	han1 greed2 powerful2 hai1 
Did1 you1 know2 Sean2 Parker2 was2 the2 founder2 of2 Napster2 ? 	kya1 tum1 jante1 ho1 Sean2 Parker2 Napster2 ka2 founder2 tha2 
yes1 	yes1 
it2 is2 interesting2 how2 he2 suggested2 getting2 rid2 of2 " the2 " 	ye1 interesting2 hai1 kaise1 usne1 ' the1 ' se2 rid1 karne1 ka1 suggest2 . 
Yes1 ! I2 was2 just2 about2 to2 say2 that2 . I2 think2 it's2 crazy2 how2 much2 influence2 he2 had2 on2 Facebook2 when2 it2 started2 out2 . 	han1 ! main1 wahi1 bolne1 wala1 tha1 . Mujhe1 lagta1 hai1 ye1 crazy1 hai1 uske1 pas1 kitna1 zyada1 influence2 tha2 jab1 facebook1 start2 hua1 . 
Then2 there's2 that2 last2 scene2 , where2 Zuckerberg2 keeps2 refreshing2 his2 page2 to2 see2 if2 his2 ex-girlfriend2 has2 accepted2 his2 friend2 request2 . That's2 what2 it2 all2 comes2 back2 to2 . After2 all2 the2 greed2 , you've2 still2 got2 these2 human2 needs2 . 	Aur1 ek1 last2 sceme1 hai1 , jahan1 Zuckerberg2 apne2 page1 ko1 refresh2 karta1 rahta1 hai1 yeh1 dekhne1 ke1 liye1 ki1 kya1 uske1 ex-girlfriend2 ne2 uska1 friend2 request2 accept2 kiya1 hai1 ya1 nahin1 . Last2 mein1 yehi1 sab1 hota1 hai1 . Saare1 greed1 ke1 baad1 , tumhe1 human2 needs2 ki1 zaroorat1 hai1 . 
it2 is2 interesting2 for2 sure2 	Hann1 . Yeh1 zaroor1 interesting2 hai1 . 
it2 would2 be2 funny2 if2 it2 was2 still2 called2 f2 acemash2 	Bahut1 funny1 hota1 agar1 ise1 abhi1 bhi1 facemash1 kaha1 jaata1 . 
I1 know2 , that2 was2 a2 pretty2 weird2 name2 . Even2 ' Facebook2 ' seemed2 weird2 back2 in2 the2 day2 . 	Mujhe1 pata1 hai1 ki1 woh1 ek1 achcha1 weird2 naam1 tha1 . Un1 dino1 mein1 Facebook1 bhi1 weird2 hua1 karta1 tha1 . 
i2 think2 it2 is2 a2 dangerous2 false2 reality2 that2 has2 changed2 humanity2 for2 the2 worse2 	Mujhe1 lagta1 hai1 yeh1 ek1 khatarnak1 flase2 reality2 hai1 jisne1 humanity1 ko1 bilkul1 badal1 diya1 hai1 . 
millions2 are2 addicted2 to2 it2 , and2 it2 is2 proven2 to2 shape2 perceptions2 in2 false2 ways2 	Lakhon1 log1 iske1 peeche1 addicted2 hain2 and1 maana1 jaata1 hai1 ki1 yeh1 perceptions2 ko2 galat1 tareeke1 se1 shape1 karta1 hai1 . 
Yeah1 , I2 think2 so2 , too2 . Though2 I2 also2 think2 there2 is2 a2 natural2 balance2 of2 humanity2 and2 that2 at2 some2 point2 Facebook2 will2 be2 left2 in2 the2 dust2 . Or1 at2 least2 it's2 worst2 aspects2 will2 be2 . Again2 , I1 just2 think2 about2 that2 last2 scene2 . Maybe2 it's2 too2 optimistic2 , but2 I2 think2 people2 will2 abandon2 Facebook2 . Maybe2 not2 this2 generation2 , but2 the2 next2 . 	Haan1 , mujhe1 bhi1 aisa1 hi1 lagta1 hai1 . Par1 mujhe1 aisa1 bhi1 lagta1 hai1 ki1 humanity2 ka1 ek1 natural2 balance2 bhi1 hai1 magar1 kabhi1 na1 kabhi1 Facebook1 dust2 mein1 mil1 jayega1 . Ya1 , kam1 se1 kam1 uske2 worst2 aspects2 dust2 mein1 honge1 . Main1 phie2 se1 us2 last2 sceme2 ke1 baare1 mein1 sochta1 hoon1 . Ho1 sakta1 hai1 main1 bahut1 optimistic2 hoon2 , but1 mere1 khayal1 se1 log1 Facebook1 abandon2 kar1 denge1 . Yeh1 generation1 nahin1 to2 agla2 generation2 . 
Was2 there2 anything2 you2 didn't2 like2 about2 the2 movie2 ? 	Movie2 mein1 kya1 aisa1 kuch1 tha1 jo1 tumne1 like1 nahin1 kiya1 ? 
it2 seems2 to2 be2 in2 that2 direction2 to2 some2 point2 already2 . a2 lot2 of2 damage2 has2 been2 done2 though2 	Haan1 , kuch1 had1 tak1 mujhe1 laga1 ki1 us2 direction2 mein1 ja1 raha1 hai1 . Kaafi1 had1 tak1 damage2 to2 ho1 chuka1 hai1 . 
I2 think2 we2 are2 done2 now2 , have2 a2 good2 day2 	I2 think2 baat1 khatam1 ho1 gayi1 . Tumhara1 din1 achcha1 ho1 . 
Okay1 , You1 too1 ! 	Okay1 , tum1 bhi1 ! 
Hi1 	Hi1 
Hi1 , give1 me1 a2 minute2 ... 	Hi1 , mujhe1 ek1 minute1 de2 ... 
ok1 , I1 am2 here2 ... 	ok1 , here1 me1 hu1 .. 
do1 you1 know1 movie2 The2 Post2 ? 	kya1 tumhe1 The1 post2 movie1 ke1 bare1 me1 knowledge2 he2 
it2 ' s2 historical2 political2 thriller2 ... 	yah1 yek1 rajnaitk1 thriller2 hai1 
do1 you2 like2 such2 films2 ? 	kya1 tum1 iesi1 moive2 like1 karte1 ho1 
I2 have2 to2 watch2 it2 again2 ... I1 love2 Maryl2 Streep2 ... 	mai1 ise1 dobara1 dekhna1 pasand1 karege1 muje1 maryl2 streep2 pasand1 hai1 
Hi1 , are1 you2 still2 there2 ? 	hi1 kya1 tum1 ab1 tak1 vaha1 ho1 
yes1 .. 	ha1 
do1 you1 know2 this2 film2 ? 	kya1 tum1 ish1 film1 ke1 bare1 me1 jante1 ho1 
The2 Post2 ? 	the2 post1 kya1 hai1 
I2 am1 not2 ' there2 ' 	mai1 vaha1 nahi1 hu1 
I2 am2 here2 :)2 	mai1 yaha1 hu1 
hellooo1 ! 	hello1 
do1 you2 like2 movies2 of2 historical2 , political2 genre2 ? 	kya1 tumhe1 historical2 political2 genre2 wali2 movies2 pasand1 hai1 ? 
Do1 you2 like2 films2 produced2 by2 Steven2 Spielberg2 ? 	tumhe1 Steven2 Spielberg2 dwara2 produce2 ki1 gayi1 filme1 pasand1 hai1 ? 
do1 you2 like2 Tom2 Hanks2 ? 	kya1 tumhe1 Tom1 Hanks2 pasand1 hai1 ? 
or2 Meryl2 Streep2 ? 	ya2 Meryl2 Streep2 ? 
what's2 the2 name2 of2 the2 movie2 ? 	Movie1 ka1 name1 kya1 hai1 ? 
The2 name2 of2 the2 movie2 is2 Zootopia2 	Movie1 ka1 name2 Zootopia2 hai1 . 
what2 is2 the2 movie2 about2 ? 	Movie1 kis1 ke1 baare1 mein1 hai1 ? 
is2 this2 a2 kid's2 movie2 ? 	Kya1 yeh1 bacho1 ki1 movie1 hai1 ? 
The2 movie2 is2 about2 anthropomorphic2 animals2 . There2 is2 a2 character2 named2 Judy2 Hopps2 who2 becomes2 a2 police2 officer2 in2 Zootopia2 . She2 gets2 delegated2 to2 parking2 duty2 , and2 then2 she2 gets2 hustled2 by2 a2 conman2 named2 Nick2 Wilde2 and2 his2 partner2 Finnick2 . 	Movie2 Manav1 ruppi2 animals2 ke1 baare1 mein1 hai1 . Yahan1 ek1 character1 hai2 Judy2 Hopps2 jo1 ki1 Zootopia2 ka2 police2 officer2 bni1 hai1 . Usse1 parking1 ki1 duty1 sumpi2 hui1 hai1 , or1 baad1 mein1 Nick2 Wilde2 or2 uske1 saathi1 Finnick2 usse2 gher1 lete1 hai1 . 
It2 is2 a2 kid's2 movie2 	Ye1 bacho1 ki1 movie1 hai1 . 
It2 also2 has2 a2 very2 high2 rating2 on2 IMDb2 of2 8/10 	Iski1 rating1 bhi1 IMBD1 par2 bht1 high1 hai1 8/10 
any2 good2 actors2 or2 voices2 in2 the2 movie2 ? 	Film1 mein1 koi1 atcha1 kalakar1 ya1 awaaz1 hai1 ? 
Idris2 Elba2 , Jason2 Bateman2 , and2 Ginnifer2 Goodwin2 	Idris2 Elba2 , Jason2 Bateman1 , aur1 Ginnifer2 Goodwin2 
is2 it2 in2 the2 theater2 or2 on2 dvd2 ? 	yeh1 theater1 mein1 ya1 dvd1 par1 hai1 ? 
I2 don't2 know2 about2 that2 but2 it2 was2 released2 in2 2016. 	main1 iske1 baare1 mein1 nahin1 jaanta1 , lekin1 yeh1 2016 mein1 release2 hui1 thi1 . 
how2 long2 is2 the2 movie2 ? 	film1 kitanee1 lambee1 hai1 ? 
what2 kind2 of2 animals2 are2 there2 ? 	kis1 tarah1 ke1 jaanvar1 hain1 ? 
Hello1 ! 	Hello1 ? 
Hello1 so2 the2 movie2 we2 will2 be2 talking2 about2 is2 Batman2 V2 . Superman2 	Hello1 to1 hum1 aaj1 jis1 movie1 k1 baare1 me1 baat1 karege1 wo1 hai1 Batman2 V2 Superman2 
Great1 ! I2 haven't2 actually2 seen2 that2 yet2 , but2 have2 been2 really2 wanting2 to2 . Which2 actors2 play2 Batman2 and2 Superman2 ? 	Great1 , maine1 abhi1 tak1 wo1 dekhi1 nahi1 hai1 , but1 sahi1 me1 dekhna1 chahta1 hu1 . Batman2 aur1 Superman1 kaun1 actors2 bane1 hai1 ? 
The2 actors2 are2 really2 great2 and2 you2 probably2 know2 all2 of2 them2 . Ben2 Affleck2 , Henry2 Cavill2 , Amy2 Adams2 , and2 Jesse2 Eisenberg2 to2 name2 a2 few2 . 	Actor1 bohot1 aache1 hai1 , aur1 tum1 shaiyad1 sabko1 jante1 ho1 . Ben2 affleck2 , henry2 cavill2 , amy2 adams1 , aur1 jesse2 eisenberg2 kuch1 naam1 hai1 
Oh1 , that2 is2 a2 great2 cast2 ? Henry2 Cavill2 played2 Superman2 in2 the2 latest2 Superman2 film2 right2 ? 	Oh1 ye1 to1 bohot1 aachi1 cast1 hai1 ? Henry2 cavill2 ne1 superman1 ka1 kirdaar1 nibhaya1 tha1 na1 latest2 superman2 film2 me1 ? 
Sorry1 , a2 great2 cast2 ! 	Maaf1 karna1 , ek1 aachi1 cast2 ! 
I2 am1 not2 sure2 but2 the2 film2 is2 still2 a2 part2 of2 the2 DC2 extended2 universe2 . Also2 it2 will2 be2 featuring2 wonder2 woman2 . 	Mai1 nahi1 bol1 sakta1 lekin1 film1 ek1 part1 hai2 DC2 extended2 universe2 ka2 . Aur1 vo1 naya1 kirdar1 wonder2 women1 bhi1 dikhayenge1 
Ooh1 , that2 is2 excellent2 . I2 am2 looking2 forward2 to2 seeing2 Wonder2 Woman2 ! Are2 Batman2 and2 Superman2 enemies2 at2 the2 start2 of2 the2 film2 ? 	Ye1 to1 kaafi1 aacha1 hai1 . Mai1 wonder2 women2 ko1 deekhna1 chahunga1 ! Kyaa1 batman1 aur1 superman1 dushman1 hai1 movie1 chalu1 hote1 samay1 
Well1 lex2 luthor2 manipulates2 batman2 into2 a2 battle2 with2 Superman2 because2 he2 is2 obssessed2 with2 cloning2 superman2 . 	Kyaa1 lex1 luthor1 uksayega1 batman1 ko1 ek1 ladai1 ke1 liye1 superman1 ke1 saath1 kyunki1 vo1 obssessed2 hai2 clone2 superman2 se1 
Oh1 ! So1 Batman2 is2 supposed2 to2 bring2 Superman2 to2 Lex2 Luthor2 ? 	Oh1 ! batman2 superman1 ko1 lex1 luthor2 ke1 paas1 lekar1 jata1 hai1 
No2 that2 is2 not2 the2 case2 however2 he2 is2 manipulated2 into2 helping2 . By2 the2 way2 did2 I2 mention2 this2 is2 going2 to2 be2 the2 first2 time2 batman2 and2 superman2 are2 in2 a2 movie2 together2 ? 	Nahi1 ye1 case1 nahi1 hai1 jabki1 vo1 uksata1 hai1 madat1 karne1 ko1 . Kyaa1 maine1 bataya1 ke1 ye1 pehli1 baar1 hai1 ke1 batman1 aur1 superman1 ek1 saath1 movie1 me1 hai1 ? 
Really1 ? The2 first2 time2 ? That2 seems2 pretty2 amazing2 knowing2 that2 the2 characters2 have2 been2 around2 for2 so2 long2 ! Very2 cool1 . Is1 the2 story2 set2 in2 Metropolis2 or2 Gotham2 ? 	Sahi1 me1 ? Pehli1 baar1 ? Ye1 kaafi1 aacha1 sunai1 deta1 hai1 ke1 kirdaar1 aas1 paas1 rahe1 hai1 itne1 samay1 se1 ! Kaafi1 aacha1 . Ye1 story2 metropolis2 me1 hai1 ya1 gotham2 me1 ? 
The2 film2 appears2 to2 take2 place2 in2 both2 cities2 , and2 Batman2 comes2 to2 view2 Superman2 as2 a2 threat2 to2 humanity2 . 	Film1 dono1 jagah1 hoti1 hai1 , aur1 batman1 superman1 ko1 ek1 khatre1 ke1 tarah1 deekhta1 hai1 manavta1 ke1 liye1 
That2 is2 interesting2 , to2 have2 the2 film2 set2 in2 both2 cities2 . So1 Batman2 sees2 it2 as2 his2 duty2 somewhat2 to2 take2 Superman2 down2 ? 	Yeh1 interesting2 hai1 , dono2 cities2 mein2 film2 set2 hona1 . to1 Batman2 ne2 Superman1 ko1 neecha1 le1 jana1 kuch1 hadd1 tak1 apni1 duty1 mani1 hai1 ? 
Well2 the2 relationships2 of2 the2 characters2 are2 quite2 complex2 because2 Clark2 Kent2 A1 . K2 . A1 . Superman2 learns2 of2 Batman's2 justice2 methods2 and2 tries2 to2 expose2 him2 . All2 this2 happening2 while2 Lex2 luthor2 makes2 moves2 to2 get2 approval2 to2 obtain2 kryptonite2 from2 a2 senator2 . 	Khair2 characters2 ke2 relationships2 kafi2 complex1 hai1 kyunki1 Clark2 Kent2 A1 . K2 . A1 . Superman2 Batman2 ke1 justice2 krne1 ke1 tarike1 sikh1 gya1 hai1 or2 use2 expose2 krne2 ki1 koshish1 krta1 hai1 . Ye1 sab1 tab1 hota1 hai1 jan1 Lex2 Luthor2 ek2 senator2 se2 kryptonite2 lene2 ka2 approval2 lene2 ke1 liye1 chaalein1 chalta1 hai1 . 
Interesting2 . And2 so2 , I1 imagine2 Lois2 Lane2 is2 in2 this2 story2 ? If2 so2 , does2 she2 serve2 a2 greater2 purpose2 ? Does2 she2 know2 both2 superheroes2 ? 	Dilachasp1 . Aur1 isliye1 , mujhe1 lagta1 hai1 ki1 kahani1 mein1 Lois2 Lane1 hai1 ? Agar1 aisa1 hai1 to1 , kya1 wo1 koi1 bada1 purpose2 serve2 kr1 rahi1 hai1 ? Kya1 use1 dono2 superheroes2 ke1 baare1 mein1 pta1 hai1 ? 
Maybe1 but2 I2 am1 not2 sure2 . By2 the2 way2 do2 you2 usually2 care2 about2 reviews2 ? 	Shayad1 but1 main2 sure1 nhi1 huin1 . Vaise1 tum1 aamataur1 par2 reviews2 ki2 paravaah1 karte1 ho1 ? 
I2 will2 often2 read2 reviews2 to2 see2 what2 people2 have2 to2 say2 , but2 I2 don't2 change2 my2 mind2 about2 wanting2 to2 see2 a2 movie2 based2 on2 reviews2 . I2 think2 that2 I2 can't2 really2 know2 unless2 I2 see1 for2 myself2 . Do1 you2 care2 about2 reviews2 ? 	Main1 aksar2 reviews2 ko1 padhta1 hoon1 ki1 logon1 ka1 kya1 kahana1 hai1 , lekin1 main2 reviews2 ke1 aadhaar1 par1 movie1 dekhne1 ke1 baare1 mein1 apana1 mann1 nahin1 badalata1 huin1 . Mujhe1 lagata1 hai1 ki1 main1 vaastav1 mein1 tab1 tak1 nahin1 jaan1 sakta1 jab1 tak1 ki1 main1 kud1 se1 nahi1 dekhta1 . Kya1 tum2 reviews2 ki2 paravaah1 karte1 ho1 ? 
Not2 usually2 I2 like2 to2 be2 my2 own2 judge2 however2 if2 the2 reviews2 are2 overwhelmingly2 bad2 or2 good2 then2 it2 may2 influence2 whether2 or2 not2 I1 watch2 in2 theatres2 . I2 have2 to2 say2 for2 this2 movies2 though2 the2 reviews2 are2 quite2 mixed2 . 	Aamataur1 par1 main1 apana1 khud1 ka1 judge2 banna1 pasand1 karta1 huin1 lekin1 agar2 reviews2 bahut1 bure1 ya1 achhe1 hai1 to1 yeh2 influence2 kar1 sakta1 hai1 ki1 main1 cinema1 main1 dekhta1 hoon1 ya1 nahin1 . Mujhe1 is1 movie1 ke1 lie1 kehna1 hoga1 , haalaanki1 reviews2 kaafi2 mixed1 hai1 . 
Did1 you2 enjoy2 this2 film2 ? 	Kya1 tumne1 ye1 film1 enjoy2 ki2 ? 
I2 did2 . I2 really2 liked2 seeing2 the2 scenes2 where2 batman2 manages2 to2 subdue2 the2 superman2 . 	Han1 . Mujhe1 vaastav1 mein1 un2 scenes2 ko1 dekhna1 pasand1 tha1 jahaan1 batman1 superman1 ko1 vash1 mein1 karne1 ke1 arrangements2 karta1 hai1 . 
Cool1 . I2 guess2 that's2 one2 of2 the2 ultimate2 questions2 , which2 one2 could2 beat2 out2 the2 other2 . Do1 they2 team2 up2 at2 all2 in2 the2 film2 ? 	Badiya1 . Mujhe1 lagata1 hai1 ki1 yeh1 param1 savaalon1 mein1 se1 ek1 hai1 , kaun1 dusre1 ko1 hara1 sakta1 hai1 . Kya1 ve1 film1 mein1 team2 up2 krte1 hai1 ? 
Yes1 in2 Batman2 chooses2 to2 save2 Supermans2 mother2 while2 Superman2 confonts2 Lex2 . 	Han1 Batman2 Superman1 ki1 maa1 ko1 bachaane1 ko1 chunta1 hai1 jabaki1 superman1 Lex2 ka1 saamana1 karta1 hai1 . 
Oh1 wow1 ! The1 pairing2 of2 Batman2 and2 Superman's2 mom2 is2 a2 really2 cool2 part2 of2 the2 story2 , heartwarming2 . 	tho1 acha1 hein1 ! yeh1 tho1 batman1 aur1 superman1 ka1 mummy1 ka1 pairing2 hein1 jo1 bahut1 cool1 hein1 aur1 heartwarming2 hein1 
I1 know2 but2 the2 film2 ends2 with2 sadly2 the2 death2 of2 Superman2 . 	muje1 patha1 tha1 lekin1 is1 film1 ka1 end2 tho2 superman2 ka1 mouth1 tho1 bada1 sad1 huva1 
Oh1 wow1 ! I2 am2 surprised2 by2 that2 , I2 thought2 they2 would2 keep2 their2 story2 line2 going2 for2 another2 movie2 or2 two2 . 	are1 vah1 ! mein1 tho2 surprised2 huva1 , lekin1 mein1 soch1 raha1 hoon1 ki1 is2 story2 line2 tho1 dusra1 movie1 se1 likha1 gaya1 hein1 
Dont1 worry1 the2 dirt2 on2 top2 of2 the2 coffin2 vibrates2 a2 nice2 wink2 from2 the2 Director2 . 	coffin2 ka2 vibrates2 ke1 baare1 mein1 koi1 worry1 na1 kare1 . kyon1 ki1 is2 wink2 us2 director2 ka1 hein1 
Haha1 ! That's1 the2 closing2 shot2 ?! 	ha1 ha1 .. yeh1 tho1 closing2 shot2 nikhla1 
I2 believe2 so2 it2 is2 in2 the2 last2 scene2 . 	mein1 believe1 kartha1 ki1 voh1 last2 scene2 se1 hein1 
Awesome1 ! Take2 care2 . 	awesome1 yar1 .. dhyan1 rakhna1 
hello1 	HELLO1 
Hello1 . Have2 you2 watched2 The2 Social2 Network2 ? It2 was2 a2 surprisingly2 good2 movie2 . 	HELLO1 . KYA1 AAP1 SOCIAL1 NETWORK1 DEKHA1 HAIN1 ? vah1 aascharya1 se1 ek1 achha1 movie1 tha2 
I2 have2 not2 	mere1 paas1 nahi1 hai1 
It2 sounds2 like2 a2 good2 film2 	vah1 ek1 achha1 film1 lagtha1 hai1 
Yes2 , I'm2 here2 	yes1 , main1 edar1 hoon1 
The2 performances2 were2 great2 . Justin2 Timberlake2 is2 not2 only2 a2 talented2 singer2 but2 a2 pretty2 good2 actor2 as2 well2 . Jesse2 Eisenberg2 fit2 the2 part2 very2 well2 too2 . 	pradarshan1 bahut1 achha1 tha1 . justin2 timberlake2 na1 sirf1 ek1 achha1 singer1 hain1 , ek1 achha1 actor1 bhee1 hai1 . jesse2 Eisenberg2 bhi1 apna1 bhaag1 achi1 tarah1 nibaya1 
Hello1 ? 	hello1 
Hello1 	Hello1 
I'm2 here2 	main1 yahan1 hoon1 
I2 was2 just2 going2 to2 ask2 how2 Timberlake2 was2 as2 an2 actor2 	main1 just1 puchne1 wala1 tha1 as1 an2 actor2 Timberlake2 kaisa1 hai1 
Hi1 . I2 was2 saying2 how2 Justin2 Timberlake2 and2 Jesse2 Eisenberg2 were2 pretty2 good2 actors2 . 	Hi1 , main1 keh1 raha1 tha1 kaise1 Justin2 Timberlake2 aurJesse2 Eisenberg2 kaafi2 ache2 actors2 hain1 
Yeah1 . He's2 better2 than2 I2 thought2 he2 would2 be2 . 	Yeah1 . maine1 jaisa1 socha1 tha1 wo1 usse1 better1 hai1 
I'm2 not2 usually2 into2 Biographies2 	main1 aksar2 Biographies2 main2 dilchaspi1 nahi1 leta1 
Me1 neither2 but2 this2 one2 was2 pretty2 good2 . 	Me1 neither2 , lekin1 ye1 kaafi1 achi1 thi1 
But2 this2 one2 is2 probably2 a2 decent2 one2 to2 watch2 	lekin1 shayad1 ye1 dekhne1 ke1 liye1 decent1 hai1 
It's2 crazy2 how2 fast2 Fb2 blew2 up2 	It's2 crazy1 kaise1 jaldi1 Fb1 udh1 gaya1 
It2 would2 be2 interesting2 to2 watch2 the2 film2 	film1 dekhna1 interesting1 hoga1 
It2 is2 . I2 didn't2 think2 Mark2 Zuckerberg2 had2 a2 very2 interesting2 life2 but2 I2 guess2 he2 has2 . 	yeh1 aise1 hi1 hei1 .. muje1 nahi1 lagtha1 ki1 Mark2 Zuckerberg2 ke1 paas1 interesting2 life2 hoga1 
Facebook1 is2 a2 monster2 . 	Facebook1 tho1 yek1 monster2 hein2 
I2 don't2 think2 most2 people2 could2 live2 without2 it2 at2 this2 point2 in2 time2 . 	muje1 nahi1 lagtha1 ki1 uske1 bina1 koi1 log1 jee1 nahi1 sakthe1 . 
I2 bet2 . He2 was2 pretty2 young2 when2 he2 made1 fb1 wasn't2 he2 	muje1 patha1 hein1 ki1 voh1 pretty1 young2 hein1 jab1 fb1 mein1 nahi1 tha1 
